year,car_num,team,penalty,cost,presentation,design,accel,skidpad,autocross,endurance,efficiency,total,completed_endurance,ran_dynamics,scored_efficiency,total_ex_ee,ee_combined,dynamic_total,static_total,energy_used_kwh,avg_adj_laptime_s,efficiency_factor
2025,275,Oregon State Univ,0,75.2,18.9,120,84.0,75.0,120.3,248.4,48.7,790.4,True,True,True,493.29999999999995,297.1,576.4000000000001,214.1,5.421,64.396,0.584
2025,205,San Jose State University,0,86.6,63.4,115,71.5,53.9,119.9,275.0,,785.2,True,True,False,510.20000000000005,275.0,520.3,265.0,,,
2025,204,Georgia Institute of Technology,0,82.1,15.0,135,100.0,72.8,114.7,187.3,65.2,772.2,True,True,True,519.7,252.5,540.0,232.1,4.363,69.874,0.669
2025,202,Ecole Polytechnique Montreal,0,78.6,26.0,110,76.7,57.9,123.1,250.5,33.2,756.1,True,True,True,472.40000000000003,283.7,541.4,214.6,6.581,64.221,0.504
2025,208,Univ of Washington,0,76.8,59.7,105,95.6,63.6,125.0,166.7,61.2,753.5,True,True,True,525.6,227.89999999999998,512.1,241.5,4.372,71.943,0.648
2025,209,Univ of Pittsburgh - Pittsburgh,0,81.3,67.9,100,58.7,45.4,102.9,195.0,72.2,723.4,True,True,True,456.2,267.2,474.2,249.2,4.181,69.137,0.705
2025,212,National Univ of Singapore,0,73.4,64.3,125,69.8,64.3,113.1,127.4,71.3,708.6,True,True,True,509.90000000000003,198.7,445.90000000000003,262.7,3.818,76.242,0.701
2025,201,Rochester Institute of Technology,0,72.1,75.0,100,99.9,74.4,43.2,166.1,71.0,701.7,True,True,True,464.6,237.1,454.6,247.1,4.052,72.002,0.699
2025,265,Massachusetts Inst of Tech,0,72.2,58.5,110,69.5,45.3,106.5,72.1,63.6,597.6,True,True,True,461.90000000000003,135.7,357.0,240.7,3.706,83.238,0.661
2025,270,Purdue Univ - W Lafayette,0,86.4,17.3,105,24.8,54.7,108.2,140.5,56.0,593.0,True,True,True,396.5,196.5,384.2,208.7,4.385,74.754,0.622
