year,car_num,team,penalty,cost,presentation,design,accel,skidpad,autocross,endurance,efficiency,total,completed_endurance,ran_dynamics,scored_efficiency
2025,275,Oregon State Univ,0,75.2,18.9,120,84.0,75.0,120.3,248.4,48.7,790.4,True,True,True
2025,205,San Jose State University,0,86.6,63.4,115,71.5,53.9,119.9,275.0,,785.2,True,True,False
2025,204,Georgia Institute of Technology,0,82.1,15.0,135,100.0,72.8,114.7,187.3,65.2,772.2,True,True,True
2025,202,Ecole Polytechnique Montreal,0,78.6,26.0,110,76.7,57.9,123.1,250.5,33.2,756.1,True,True,True
2025,208,Univ of Washington,0,76.8,59.7,105,95.6,63.6,125.0,166.7,61.2,753.5,True,True,True
2025,209,Univ of Pittsburgh - Pittsburgh,0,81.3,67.9,100,58.7,45.4,102.9,195.0,72.2,723.4,True,True,True
2025,212,National Univ of Singapore,0,73.4,64.3,125,69.8,64.3,113.1,127.4,71.3,708.6,True,True,True
2025,201,Rochester Institute of Technology,0,72.1,75.0,100,99.9,74.4,43.2,166.1,71.0,701.7,True,True,True
2025,265,Massachusetts Inst of Tech,0,72.2,58.5,110,69.5,45.3,106.5,72.1,63.6,597.6,True,True,True
2025,270,Purdue Univ - W Lafayette,0,86.4,17.3,105,24.8,54.7,108.2,140.5,56.0,593.0,True,True,True
2025,253,California Polytechnic State Univ-SLO,0,78.8,54.5,125,32.5,74.8,113.1,23.0,90.9,592.5,False,True,True
2025,203,Univ of Wisconsin - Madison,0,82.0,60.1,150,75.4,73.4,123.7,2.0,,566.6,False,True,False
2025,299,Carnegie Mellon Univ,0,90.2,50.0,130,81.3,56.4,89.0,21.0,,518.0,False,True,False
2025,301,Univ of Connecticut,0,63.3,18.9,70,,,102.3,152.9,100.0,507.4,True,True,True
2025,210,Univ of Toronto,0,72.9,60.6,129,59.1,47.0,97.2,25.0,,490.8,False,True,False
2025,222,Univ of Cincinnati,0,42.7,19.6,65,54.2,39.8,84.6,120.2,57.2,483.4,True,True,True
2025,248,Kookmin Univ,0,72.8,44.1,120,48.7,50.6,110.2,14.0,,460.2,False,True,False
2025,216,Univ of Calif - Santa Cruz,-20,42.2,51.5,75,48.8,44.1,6.5,118.8,76.6,443.5,True,True,True
2025,268,Université Laval,0,87.1,67.3,95,19.5,49.9,79.2,25.0,,423.0,False,True,False
2025,274,Univ of Michigan - Ann Arbor,0,75.3,65.0,115,96.5,36.9,,2.0,,390.6,False,True,False
2025,279,Penn State Univ - University Park,-20,58.5,57.6,65,46.8,53.0,104.4,14.0,,379.3,False,True,False
2025,206,Cornell Univ,0,77.7,54.8,125,30.4,28.1,,22.0,,338.0,False,True,False
2025,223,Northwestern Univ,0,74.3,16.2,85,44.4,32.7,59.2,2.0,,313.8,False,True,False
2025,243,Univ of Alberta,0,74.1,20.0,65,4.5,19.5,59.7,60.5,,303.4,True,True,False
2025,282,Univ of Florida,0,73.6,40.4,105,,,,24.0,,298.6,False,False,False
2025,234,Univ of Pennsylvania,0,90.4,74.3,120,,,,,,284.7,False,False,False
2025,226,Univ of Waterloo,0,66.4,66.0,95,6.3,3.5,6.5,14.0,,257.6,False,True,False
2025,254,Auburn Univ,-20,47.0,32.2,70,4.5,43.5,50.1,25.0,,252.4,False,True,False
2025,207,Univ of Illinois - Urbana Champaign,0,68.9,68.3,115,,,,,,252.2,False,False,False
2025,258,Texas A & M Univ - College Station,0,67.4,67.9,100,,,,,,235.3,False,False,False
2025,217,Columbia Univ,0,70.8,56.5,100,,,,,,227.3,False,False,False
2025,228,McGill Univ,0,87.7,16.0,115,,,,,,218.7,False,False,False
2025,262,Univ of Calif - Davis,0,81.2,40.3,90,,,,,,211.5,False,False,False
2025,240,Michigan State University,0,70.7,64.5,75,,,,,,210.2,False,False,False
2025,235,Univ of Calif - Los Angeles,-20,84.1,46.7,95,,,,,,205.8,False,False,False
2025,259,Northeastern Univ,0,68.3,51.6,85,,,,,,204.9,False,False,False
2025,247,The Ohio State University,0,65.8,71.2,65,,,,,,202.0,False,False,False
2025,229,Univ of Calgary,-20,72.9,62.2,85,,,,,,200.1,False,False,False
2025,215,Univ of Maryland - College Park,0,39.7,36.7,65,48.2,7.2,,2.0,,198.7,False,True,False
2025,257,Univ of Calif - Berkeley,-20,73.3,48.8,80,3.5,6.5,,3.0,,195.1,False,True,False
2025,246,Concordia University,-20,70.8,48.6,95,,,,,,194.4,False,False,False
2025,242,Missouri Univ of Science and Tech,0,68.6,18.4,65,16.3,,,25.0,,193.3,False,True,False
2025,233,Toronto Metropolitan University,0,73.3,50.3,60,,,,,,183.6,False,False,False
2025,272,Ecole De Technologie Superieure,-20,82.6,19.3,100,,,,,,181.9,False,False,False
2025,231,Kennesaw State University,0,86.0,18.4,75,,,,,,179.4,False,False,False
2025,218,Univ of British Columbia,0,60.3,55.0,60,,,,,,175.3,False,False,False
2025,263,Univ of Minnesota - Twin Cities,0,44.9,19.6,105,,,,,,169.6,False,False,False
2025,221,North Carolina State Univ - Raleigh,0,74.5,27.4,65,,,,,,166.9,False,False,False
2025,245,Texas Tech Univ,0,54.5,54.6,55,,,,,,164.1,False,False,False
2025,232,Rensselaer Polytechnic Inst,-20,57.9,43.3,80,,,,,,161.2,False,False,False
2025,239,Univ of Texas - Austin,0,71.7,27.6,60,,,,,,159.3,False,False,False
2025,264,Univ of Akron,-20,66.1,18.4,90,,,,,,154.4,False,False,False
2025,289,Univ of Southern California,0,52.2,43.7,50,,,,,,145.9,False,False,False
2025,252,Univ of British Columbia - Okanagan,0,66.3,19.4,60,,,,,,145.6,False,False,False
2024,204,Rochester Institute of Technology,0,76.7,42.9,110,65.4,55.0,100.4,274.2,36.2,760.6,True,True,True
2024,238,Ecole Polytechnique Montreal,0,71.9,29.4,140,64.5,52.3,103.8,260.5,35.5,757.8,True,True,True
2024,252,Univ of Wisconsin - Madison,0,83.2,49.4,110,34.6,51.5,117.5,256.4,51.5,754.1,True,True,True
2024,210,Georgia Institute of Technology,-50,75.1,67.0,90,100.0,75.0,125.0,234.9,34.7,751.7,True,True,True
2024,217,San Jose State University,-20,95.2,60.7,125,49.4,47.0,106.0,261.0,,724.3,True,True,False
2024,292,Cornell Univ,0,76.0,69.2,95,59.1,63.9,98.8,149.9,100.0,711.9,True,True,True
2024,223,Univ of Illinois - Urbana Champaign,0,74.4,69.2,135,9.4,40.7,116.4,209.0,45.9,700.0,True,True,True
2024,203,Univ of Washington,0,65.4,72.4,80,4.5,63.6,97.2,275.0,29.4,687.6,True,True,True
2024,231,Univ of Pittsburgh - Pittsburgh,0,75.8,45.6,125,62.5,22.4,79.8,231.6,40.1,682.7,True,True,True
2024,205,Univ of Toronto,0,67.3,49.4,130,53.0,40.6,86.8,203.8,51.8,682.7,True,True,True
2024,225,National Univ of Singapore,0,61.4,46.9,100,51.5,49.7,101.8,211.2,59.4,681.9,True,True,True
2024,257,California Polytechnic State Univ-SLO,0,77.2,47.4,135,29.6,56.7,103.6,124.7,73.3,647.5,True,True,True
2024,208,Virginia Tech,0,56.4,40.4,85,51.2,40.1,74.6,235.8,44.3,627.9,True,True,True
2024,202,Carnegie Mellon Univ,0,51.0,61.8,75,51.6,50.5,79.2,186.5,34.3,589.9,True,True,True
2024,206,Kennesaw State University,0,96.9,75.0,85,26.7,34.3,102.6,92.1,56.3,568.7,True,True,True
2024,201,Ecole De Technologie Superieure,0,90.1,57.6,110,,,16.4,250.5,,524.6,True,True,False
2024,288,Univ of Akron,0,48.7,20.0,60,32.1,39.8,71.9,164.5,87.1,524.1,True,True,True
2024,250,Univ of Michigan - Ann Arbor,0,74.0,58.8,137,46.2,,,153.2,51.6,520.7,True,True,True
2024,228,Concordia University,0,84.2,64.4,80,9.0,28.9,,176.4,53.7,496.6,True,True,True
2024,283,Western University,0,37.4,29.7,60,4.5,36.5,63.0,164.3,75.1,470.6,True,True,True
2024,247,Oregon State Univ,0,77.6,47.9,85,69.9,61.6,108.7,,,450.7,False,True,False
2024,290,Univ of Calif - Davis,0,83.9,45.6,75,36.1,44.2,105.4,1.0,,391.3,False,True,False
2024,245,Université Laval,0,90.8,47.9,80,19.7,35.2,68.2,14.0,35.2,391.0,False,True,True
2024,246,Massachusetts Inst of Tech,0,65.7,44.5,95,39.9,20.3,88.9,19.0,,373.3,False,True,False
2024,285,Penn State Univ - University Park,0,30.2,43.6,75,47.1,30.8,61.5,46.0,28.7,363.4,True,True,True
2024,209,Univ of Texas - Arlington,0,70.0,71.7,120,19.6,49.9,,25.0,,356.1,False,True,False
2024,230,Auburn Univ,0,81.2,46.7,65,31.3,35.2,92.8,3.0,,355.2,False,True,False
2024,263,Columbia Univ,0,74.4,36.1,85,26.1,21.8,43.6,35.0,33.0,355.1,True,True,True
2024,233,McGill Univ,0,76.5,72.7,150,,,,,,299.3,False,False,False
2024,216,Univ of Missouri,-50,70.9,50.8,70,29.1,41.3,82.6,3.0,,297.7,False,True,False
2024,214,Univ of British Columbia,-10,78.3,60.1,70,5.9,27.1,60.4,5.0,,296.8,False,True,False
2024,243,Purdue Univ - W Lafayette,0,75.1,52.2,85,4.5,19.0,41.3,1.0,,278.1,False,True,False
