year,car_num,team,avg_adj_laptime_s,laps_completed,energy_used_kwh,adj_energy_kg,avg_adj_energy_per_lap_kg,efficiency_factor,efficiency_score
2025,301,Univ of Connecticut,73.391,22,3.275,2.128,0.0967,0.848,100
2025,253,California Polytechnic State Univ-SLO,69.267,20,3.338,2.169,0.1085,0.802,90.9
2025,216,Univ of Calif - Santa Cruz,77.249,22,3.625,2.356,0.1071,0.728,76.6
2025,209,Univ of Pittsburgh - Pittsburgh,69.137,22,4.181,2.717,0.1235,0.705,72.2
2025,212,National Univ of Singapore,76.242,22,3.818,2.481,0.1128,0.701,71.3
2025,201,Rochester Institute of Technology,72.002,22,4.052,2.633,0.1197,0.699,71.0
2025,204,Georgia Institute of Technology,69.874,22,4.363,2.835,0.1289,0.669,65.2
2025,265,Massachusetts Inst of Tech,83.238,22,3.706,2.408,0.1095,0.661,63.6
2025,208,Univ of Washington,71.943,22,4.372,2.841,0.1291,0.648,61.2
2025,222,Univ of Cincinnati,77.080,22,4.213,2.738,0.1245,0.628,57.2
2025,270,Purdue Univ - W Lafayette,74.754,22,4.385,2.850,0.1295,0.622,56.0
2025,282,Univ of Florida,80.176,21,3.918,2.546,0.1212,0.620,55.6
2025,275,Oregon State Univ,64.396,22,5.421,3.523,0.1601,0.584,48.7
2025,202,Ecole Polytechnique Montreal,64.221,22,6.581,4.277,0.1860,0.504,33.2
2024,292,Cornell Univ,85.093,22,2.449,1.591,0.0723,0.845,100
2024,288,Univ of Akron,83.299,22,2.752,1.788,0.0813,0.768,87.1
2024,283,Western University,83.328,22,3.170,2.060,0.0896,0.696,75.1
2024,257,California Polytechnic State Univ-SLO,88.362,22,2.906,1.888,0.0858,0.685,73.3
2024,225,National Univ of Singapore,78.062,22,3.741,2.431,0.1105,0.603,59.4
2024,206,Kennesaw State University,92.995,22,3.239,2.105,0.0957,0.584,56.3
2024,228,Concordia University,81.901,22,3.776,2.454,0.1115,0.569,53.7
2024,205,Univ of Toronto,78.840,22,4.000,2.600,0.1182,0.558,51.8
2024,250,Univ of Michigan - Ann Arbor,84.682,22,3.906,2.538,0.1103,0.556,51.6
2024,252,Univ of Wisconsin - Madison,73.574,22,4.302,2.796,0.1271,0.556,51.5
2024,223,Univ of Illinois - Urbana Champaign,78.291,22,4.300,2.795,0.1270,0.523,45.9
2024,208,Virginia Tech,75.550,22,4.542,2.952,0.1342,0.513,44.3
2024,231,Univ of Pittsburgh - Pittsburgh,75.969,22,4.748,3.086,0.1403,0.488,40.1
2024,204,Rochester Institute of Technology,71.951,22,5.265,3.422,0.1555,0.464,36.2
2024,238,Ecole Polytechnique Montreal,73.189,22,5.220,3.393,0.1542,0.460,35.5
2024,245,Université Laval,83.012,12,2.519,1.637,0.1364,0.459,35.2
2024,210,Georgia Institute of Technology,75.641,22,5.102,3.316,0.1507,0.456,34.7
2024,202,Carnegie Mellon Univ,80.752,22,4.807,3.124,0.1420,0.453,34.3
2024,263,Columbia Univ,102.347,22,3.859,2.508,0.1140,0.445,33.0
2024,203,Univ of Washington,71.875,22,5.767,3.748,0.1704,0.424,29.4
2024,285,Penn State Univ - University Park,100.353,22,4.365,2.837,0.1233,0.420,28.7
